index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
2665,IMCV,ETF,,,NGM,64.013,iShares Morningstar Mid-Cap Value ETF,iShares Morningstar Mid-Cap Val,2.6836467,0.017128756
2666,IMGN,EQUITY,1113736320.0,220106000.0,NMS,0.381,"ImmunoGen, Inc.","ImmunoGen, Inc.",,
2667,IMGO,EQUITY,662862400.0,33528700.0,NMS,6.826,"Imago BioSciences, Inc.","Imago BioSciences, Inc.",,
2668,IMKTA,EQUITY,1697339648.0,14272800.0,NMS,51.766,"Ingles Markets, Incorporated","Ingles Markets, Incorporated",7.019639,0.0074115666
2669,IMMP,EQUITY,211568832.0,74815296.0,NGM,0.98,Immutep Limited,Immutep Limited,,
2670,IMMR,EQUITY,181641904.0,33025800.0,NMS,3.96,Immersion Corporation,Immersion Corporation,8.730159,
2671,IMMX,EQUITY,18786000.0,7575000.0,NCM,-1.836,"Immix Biopharma, Inc.","Immix Biopharma, Inc.",,
2672,IMNM,EQUITY,70061312.0,12100400.0,NCM,4.531,"Immunome, Inc.","Immunome, Inc.",,
2673,IMOS,EQUITY,1280669696.0,36362000.0,NMS,628.18,ChipMOS TECHNOLOGIES INC.,ChipMOS TECHNOLOGIES INC.,8.345972,0.061919507
2674,IMPL,EQUITY,154824768.0,23039400.0,NGM,3.294,"Impel NeuroPharma, Inc.","Impel NeuroPharma, Inc.",,
2675,IMPP,EQUITY,,,NCM,,Imperial Petroleum Inc.,Imperial Petroleum Inc.,,
2676,IMPPP,EQUITY,,,NCM,,Imperial Petroleum Inc.,Imperial Petroleum Inc. - 8.75%,,
2677,IMRA,EQUITY,49135560.0,26275700.0,NMS,3.782,IMARA Inc.,IMARA Inc.,,
2678,IMRN,EQUITY,19920490.0,5681160.0,NCM,4.56,Immuron Limited,Immuron Limited,,
2679,IMRNW,EQUITY,,,NCM,,,Immuron Limited,,
2680,IMRX,EQUITY,195822288.0,26320200.0,NGM,6.103,Immuneering Corporation,Immuneering Corporation,,
2681,IMTE,EQUITY,312535584.0,9329420.0,NCM,0.876,Integrated Media Technology Limited,Integrated Media Technology Lim,,
2682,IMTX,EQUITY,523404512.0,62909200.0,NCM,0.559,Immatics N.V.,Immatics N.V.,,
2683,IMTXW,EQUITY,,,NCM,,immatics biotechnologies GmbH,Immatics N.V.,,
2684,IMUX,EQUITY,318142720.0,26249400.0,NMS,5.542,"Immunic, Inc.","Immunic, Inc.",,
2685,IMV,EQUITY,115762128.0,82142600.0,NCM,0.399,IMV Inc.,IMV Inc.,,
2686,IMVT,EQUITY,642850048.0,115000000.0,NMS,4.664,"Immunovant, Inc.","Immunovant, Inc.",,
2687,IMXI,EQUITY,811273856.0,38613700.0,NCM,3.423,"International Money Express, Inc.","International Money Express, In",18.927927,
2688,INAB,EQUITY,64515824.0,18754600.0,NGM,2.295,"IN8bio, Inc.","IN8bio, Inc.",,
2689,INBK,EQUITY,425108032.0,9854150.0,NMS,37.266,First Internet Bancorp,First Internet Bancorp,9.202218,0.005580098
2690,INBKZ,EQUITY,,,NMS,,,First Internet Bancorp - Fixed-,,
2691,INBX,EQUITY,889285632.0,37955000.0,NGM,0.743,"Inhibrx, Inc.","Inhibrx, Inc.",,
2692,INCR,EQUITY,319457408.0,44994000.0,NGM,,InterCure Ltd.,Intercure Ltd.,,
2693,INCY,EQUITY,17658028032.0,220891008.0,NMS,14.255,Incyte Corporation,Incyte Corporation,33.142624,
2694,INDB,EQUITY,3857122816.0,47349900.0,NMS,53.14,Independent Bank Corp.,Independent Bank Corp.,17.473186,0.02325866
2695,INDI,EQUITY,998929920.0,96241296.0,NCM,1.003,"indie Semiconductor, Inc.","indie Semiconductor, Inc.",,
2696,INDIW,EQUITY,,,NCM,,"indie Semiconductor, Inc.","indie Semiconductor, Inc. Warrant",,
2697,INDP,EQUITY,32938192.0,8193580.0,NCM,4.682,"Indaptus Therapeutics, Inc.","Indaptus Therapeutics, Inc.",,
2698,INDT,EQUITY,750637696.0,10174000.0,NGM,27.63,"INDUS Realty Trust, Inc.","INDUS Realty Trust, Inc.",,
2699,INDY,ETF,,,NGM,,iShares India 50 ETF,iShares S&P India Nifty 50 Inde,,
2700,INFI,EQUITY,106818488.0,89015400.0,NMS,0.361,"Infinity Pharmaceuticals, Inc.","Infinity Pharmaceuticals, Inc.",,
2701,INFN,EQUITY,1859150080.0,210788000.0,NMS,1.619,Infinera Corporation,Infinera Corporation,,
2702,INGN,EQUITY,801706240.0,22724100.0,NMS,17.205,"Inogen, Inc.","Inogen, Inc",70.13916,
2703,INKA,EQUITY,214331248.0,17250000.0,NCM,-0.674,KludeIn I Acquisition Corp.,KludeIn I Acquisition Corp.,,
2704,INKAU,EQUITY,,,NCM,-0.674,KludeIn I Acquisition Corp.,KludeIn I Acquisition Corp.,,
2705,INKAW,EQUITY,,,NCM,,Kludein I Acquisition Corp.,KludeIn I Acquisition Corp.,,
2706,INKT,EQUITY,78735336.0,33504400.0,NCM,-3.159,"MiNK Therapeutics, Inc.","MiNK Therapeutics, Inc.",,
2707,INM,EQUITY,13085207.0,14137000.0,NCM,1.474,InMed Pharmaceuticals Inc.,InMed Pharmaceuticals Inc.,,
2708,INMB,EQUITY,149348416.0,17843300.0,NCM,4.946,"INmune Bio, Inc.",INmune Bio Inc.,,
2709,INMD,EQUITY,2862022144.0,76381696.0,NMS,4.643,InMode Ltd.,InMode Ltd.,21.584103,
2710,INNV,EQUITY,838850176.0,135516992.0,NMS,2.537,InnovAge Holding Corp.,InnovAge Holding Corp.,59.51923,
2711,INO,EQUITY,799466816.0,210386000.0,NMS,2.156,"Inovio Pharmaceuticals, Inc.","Inovio Pharmaceuticals, Inc.",,
2712,INOD,EQUITY,192518320.0,27153500.0,NGM,1.131,Innodata Inc.,Innodata Inc.,417.0588,
2713,INPX,EQUITY,32394438.0,124594000.0,NCM,0.983,Inpixon,Inpixon,,
2714,INSE,EQUITY,299150176.0,24970800.0,NCM,-5.313,"Inspired Entertainment, Inc.","Inspired Entertainment, Inc.",,
2715,INSG,EQUITY,424709024.0,105126000.0,NMS,-0.146,Inseego Corp.,Inseego Corp.,,
2716,INSM,EQUITY,2896562688.0,118372000.0,NMS,4.265,Insmed Incorporated,"Insmed, Inc.",,
