index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
71,BRO,EQUITY,20436418560.0,282427008.0,NYQ,14.544,"Brown & Brown, Inc.","Brown & Brown, Inc.",35.31479,0.0053630965
72,BSX,EQUITY,63661424640.0,1424989952.0,NYQ,11.554,Boston Scientific Corporation,Boston Scientific Corporation,58.09493,
73,BWA,EQUITY,9671162880.0,239771008.0,NYQ,27.718,BorgWarner Inc.,BorgWarner Inc.,12.573255,0.017653167
74,BXP,EQUITY,20684150784.0,156207008.0,NYQ,36.598,"Boston Properties, Inc.","Boston Properties, Inc.",64.78229,0.031081509
75,C,EQUITY,111694561280.0,1984269952.0,NYQ,92.165,Citigroup Inc.,"Citigroup, Inc.",5.3315024,0.036157392
76,CAG,EQUITY,15940098048.0,479689984.0,NYQ,17.839,"Conagra Brands, Inc.","ConAgra Brands, Inc.",13.393793,0.03522305
77,CAH,EQUITY,16164768768.0,281788000.0,NYQ,4.905,"Cardinal Health, Inc.","Cardinal Health, Inc.",14.807693,0.034101624
78,CARR,EQUITY,41613414400.0,866585024.0,NYQ,7.962,Carrier Global Corporation,Carrier Global Corporation,19.261934,0.010396361
79,CAT,EQUITY,118834135040.0,540942016.0,NYQ,30.807,Caterpillar Inc.,"Caterpillar, Inc.",23.500214,0.01926106
80,CB,EQUITY,92400402432.0,430740992.0,NYQ,137.668,Chubb Limited,Chubb Limited,10.905694,0.014822459
81,CBOE,EQUITY,12113577984.0,106643000.0,BTS,32.792,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc.",27.14866,0.01530343
82,CBRE,EQUITY,31277883392.0,334665984.0,NYQ,24.279,"CBRE Group, Inc.",CBRE Group Inc,21.785547,
83,CCI,EQUITY,79288508416.0,432203008.0,NYQ,19.704,Crown Castle International Corp.,Crown Castle International Corp,63.898293,0.030346245
84,CCL,EQUITY,23262740480.0,981048000.0,NYQ,13.107,Carnival Corporation & plc,Carnival Corporation,,0.0
85,CDAY,EQUITY,10853459968.0,151331008.0,NYQ,14.698,Ceridian HCM Holding Inc.,Ceridian HCM Holding Inc.,,
86,CDNS,EQUITY,46024806400.0,277140992.0,NMS,9.494,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",66.963715,
87,CDW,EQUITY,24676478976.0,135723008.0,NMS,6.145,CDW Corporation,CDW Corporation,25.550169,0.009099182
88,CE,EQUITY,15945247744.0,108871000.0,NYQ,35.895,Celanese Corporation,Celanese Corporation Celanese C,5.9075513,0.018490199
89,CEG,EQUITY,,,NMS,,Constellation Energy Corporation,Constellation Energy Corporatio,,
90,CERN,EQUITY,27339261952.0,292211008.0,NMS,12.958,Cerner Corporation,Cerner Corporation,55.03529,0.009423859
91,CF,EQUITY,21355276288.0,214475008.0,NYQ,13.716,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",72.152176,0.011278196
92,CFG,EQUITY,20602507264.0,426200000.0,NYQ,50.232,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc.",9.706827,0.03207237
93,CHD,EQUITY,24960000000.0,250000000.0,NYQ,14.341,"Church & Dwight Co., Inc.","Church & Dwight Company, Inc.",30.457594,0.010263267
94,CHRW,EQUITY,14368762880.0,129987000.0,NMS,14.963,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc.",19.578463,0.019178338
95,CHTR,EQUITY,102663823360.0,179291008.0,NMS,94.985,"Charter Communications, Inc.","Charter Communications, Inc.",26.095337,
96,CI,EQUITY,79781347328.0,331428000.0,NYQ,143.075,Cigna Corporation,Cigna Corporation,10.018729,0.012391574
97,CINF,EQUITY,21866831872.0,161140992.0,NMS,73.501,Cincinnati Financial Corporation,Cincinnati Financial Corporatio,8.7379265,0.01846907
98,CL,EQUITY,64107094016.0,842849024.0,NYQ,0.701,Colgate-Palmolive Company,Colgate-Palmolive Company,24.222929,0.024168363
99,CLX,EQUITY,17129559040.0,122863000.0,NYQ,2.995,The Clorox Company,Clorox Company (The),40.21344,0.03385533
100,CMA,EQUITY,12486695936.0,131149000.0,NYQ,56.554,Comerica Incorporated,Comerica Incorporated,11.85531,0.028923862
101,CMCSA,EQUITY,218302988288.0,4559479808.0,NMS,20.964,Comcast Corporation,Comcast Corporation,15.368285,0.020940172
102,CME,EQUITY,86356393984.0,359396000.0,NMS,76.084,CME Group Inc.,CME Group Inc.,35.439526,0.014493938
103,CMG,EQUITY,44995256320.0,28135400.0,NYQ,82.078,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc.",64.20846,
104,CMI,EQUITY,30361403392.0,143032000.0,NYQ,56.505,Cummins Inc.,Cummins Inc.,13.955032,0.026285604
105,CMS,EQUITY,19949983744.0,289696992.0,NYQ,20.249,CMS Energy Corporation,CMS Energy Corporation,22.825655,0.025157971
106,CNC,EQUITY,49224310784.0,583502976.0,NYQ,45.357,Centene Corporation,Centene Corporation,67.54204,
107,CNP,EQUITY,19255877632.0,628865984.0,NYQ,12.841,"CenterPoint Energy, Inc.","CenterPoint Energy, Inc (Holdin",19.46599,0.021155138
108,COF,EQUITY,57856925696.0,425622016.0,NYQ,133.911,Capital One Financial Corporation,Capital One Financial Corporati,5.0837727,0.011105352
109,COO,EQUITY,20542117888.0,49408000.0,NYQ,140.807,"The Cooper Companies, Inc.","The Cooper Companies, Inc.",7.0278063,0.00014565227
110,COP,EQUITY,131591634944.0,1318950016.0,NYQ,33.447,ConocoPhillips,ConocoPhillips,27.059938,0.016453033
111,COST,EQUITY,252254273536.0,443432000.0,NMS,41.636,Costco Wholesale Corporation,Costco Wholesale Corporation,48.91384,0.005500708
112,CPB,EQUITY,13457513472.0,301737984.0,NYQ,10.712,Campbell Soup Company,Campbell Soup Company,14.290291,0.034164358
113,CPRT,EQUITY,30931687424.0,237188000.0,NMS,15.995,"Copart, Inc.","Copart, Inc.",31.424097,
114,CRL,EQUITY,14683121664.0,50464400.0,NYQ,48.089,"Charles River Laboratories International, Inc.",Charles River Laboratories Inte,37.684235,
115,CRM,EQUITY,218059309056.0,985000000.0,NYQ,57.982,"salesforce.com, inc.",Salesforce.com Inc,121.77118,
116,CSCO,EQUITY,233592324096.0,4217609984.0,NMS,10.126,"Cisco Systems, Inc.","Cisco Systems, Inc.",20.589218,0.026972478
117,CSX,EQUITY,83118792704.0,2217979904.0,NMS,5.935,CSX Corporation,CSX Corporation,23.584015,0.009950927
118,CTAS,EQUITY,44824829952.0,103664000.0,NMS,34.372,Cintas Corporation,Cintas Corporation,40.404133,0.008284398
119,CTLT,EQUITY,19053223936.0,171188000.0,NYQ,23.51,"Catalent, Inc.","Catalent, Inc.",35.03305,
120,CTRA,EQUITY,22178136064.0,813577984.0,NYQ,5.82,Coterra Energy Inc.,Coterra Energy Inc.,31.012514,0.01553829
121,CTSH,EQUITY,49265754112.0,525252000.0,NMS,21.992,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions ,26.155148,0.010308147
122,CTVA,EQUITY,42087206912.0,728908992.0,NYQ,33.878,"Corteva, Inc.","Corteva, Inc.",26.221619,0.009232348
123,CTXS,EQUITY,12614483968.0,124723000.0,NMS,3.208,"Citrix Systems, Inc.","Citrix Systems, Inc.",40.1668,0.01447551
124,CVS,EQUITY,137669066752.0,1320060032.0,NYQ,56.251,CVS Health Corporation,CVS Health Corporation,18.203875,0.018509949
125,CVX,EQUITY,314367672320.0,1927689984.0,NYQ,70.479,Chevron Corporation,Chevron Corporation,31.525229,0.031629585
126,CZR,EQUITY,17364862976.0,213774000.0,NMS,22.85,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc.",,
127,D,EQUITY,68307636224.0,809907968.0,NYQ,30.27,"Dominion Energy, Inc.","Dominion Energy, Inc.",26.597286,0.030619683
128,DAL,EQUITY,25376557056.0,640014016.0,NYQ,4.086,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",,8.05153e-05
129,DD,EQUITY,40495009792.0,518104000.0,NYQ,51.405,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc.",7.2229924,0.015727391
130,DE,EQUITY,126511824896.0,307407008.0,NYQ,59.828,Deere & Company,Deere & Company,21.67167,0.0083522275
131,DFS,EQUITY,33504448512.0,293076000.0,NYQ,41.413,Discover Financial Services,Discover Financial Services,6.835685,0.016264522
132,DG,EQUITY,52981895168.0,231706000.0,NYQ,26.714,Dollar General Corporation,Dollar General Corporation,22.349722,0.0073336354
133,DGX,EQUITY,17341337600.0,122675000.0,NYQ,51.967,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,8.498768,0.017043455
134,DHI,EQUITY,28872030208.0,356180992.0,NYQ,41.814,"D.R. Horton, Inc.","D.R. Horton, Inc.",7.1042943,0.010148421
135,DHR,EQUITY,210527109120.0,714577024.0,NYQ,56.239,Danaher Corporation,Danaher Corporation,37.37856,0.002826929
136,DIS,EQUITY,259580018688.0,1817660032.0,NYQ,48.709,The Walt Disney Company,Walt Disney Company (The),130.5393,0.0063327574
137,DISCA,EQUITY,13094488064.0,169284992.0,NMS,17.714,"Discovery, Inc.","Discovery, Inc. - Series A",17.61204,
138,DISCK,EQUITY,13503392768.0,330145984.0,NMS,17.714,"Discovery, Inc.","Discovery, Inc. - Series C",17.61204,
139,DISH,EQUITY,16805327872.0,290366016.0,NMS,28.282,DISH Network Corporation,DISH Network Corporation,7.64126,
140,DLR,EQUITY,41071726592.0,283787008.0,NYQ,58.279,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc.",61.04061,0.03341809
141,DLTR,EQUITY,35775877120.0,224956000.0,NMS,32.212,"Dollar Tree, Inc.","Dollar Tree, Inc.",26.764559,
